test_type,statistic,p_value,significant,effect_size_r,cohens_d,interpretation,n_observations
distance_3,0.0,1.5756630464482418e-11,True,0.8702276571045146,-1.3732745230337302,large,4
distance_5,0.0,1.5916070849113537e-11,True,0.8700388030527066,-0.6750555264554766,medium,4
distance_7,0.0,1.5756630464482418e-11,True,0.8702276571045146,-0.9929128716943423,large,4
distance_9,0.0,1.5916070849113537e-11,True,0.8700388030527066,-5.726355780726696,large,4
distance_11,0.0,1.5916070849113537e-11,True,0.8700388030527066,-4.6683135438076695,large,4
distance_13,0.0,1.5916070849113537e-11,True,0.8700388030527066,-3.3803769694851415,large,4
