model_name,deepsets_params,gdeepsets_params,deepsets_size_mb,gdeepsets_size_mb,param_ratio
a1_d3_00,50689,547201,0.2013559341430664,2.110377311706543,10.795261299295705
a2_d3_10,50689,547201,0.2013559341430664,2.110377311706543,10.795261299295705
a3_d3_20,50689,547201,0.2013559341430664,2.110377311706543,10.795261299295705
a4_d3_40,50689,547201,0.2013559341430664,2.110377311706543,10.795261299295705
a5_d3_50,50689,547201,0.2013559341430664,2.110377311706543,10.795261299295705
b1_d5heavy,50689,547201,0.20140552520751953,2.1104631423950195,10.795261299295705
b2_d5more,50689,547201,0.20138072967529297,2.1104202270507812,10.795261299295705
b3_balanced,50689,547201,0.2014303207397461,2.110567092895508,10.795261299295705
b4_d7more,50689,547201,0.20138072967529297,2.1104202270507812,10.795261299295705
b5_d7heavy,50689,547201,0.20140552520751953,2.1104631423950195,10.795261299295705
c4_no_d7,50689,547201,0.2013559341430664,2.110377311706543,10.795261299295705
equal_333333,50689,547201,0.20145511627197266,2.110610008239746,10.795261299295705
