distance,model,latency_us,throughput_samples_per_sec,batch_size
3,GNN,40.64083099365234,24605.796081192068,64.0
3,MWPM,0.1101255416870117,9080545.57263477,
3,NN,4.1236066818237305,242506.154723208,64.0
5,GNN,41.13530158996582,24310.01989405448,64.0
5,MWPM,0.9751510620117188,1025482.1421585884,
5,NN,4.034609794616699,247855.443501446,64.0
7,GNN,43.19818019866944,23149.1233056804,64.0
7,MWPM,3.421330451965332,292283.9562093644,
7,NN,4.744224548339844,210782.60310210907,64.0
9,GNN,44.34565533582509,22550.123398269858,64.0
9,MWPM,8.295478820800781,120547.59244186316,
9,NN,4.758542642254074,210148.37423550122,64.0
11,GNN,40.6533432006836,24598.222957052763,64.0
11,MWPM,16.06818675994873,62234.77576776627,
11,NN,4.898033142089844,204163.5838285345,64.0
13,GNN,50.41957855224609,19833.565228312524,64.0
13,MWPM,27.90867328643799,35831.155058379016,
13,NN,5.05063533782959,197994.8923474903,64.0
