distance,nn_params,gnn_params,nn_size_mb,gnn_size_mb,param_ratio
3,2646529,142593,30.30717372894287,0.5631837844848633,0.053879250898063086
5,2695681,142593,30.86967372894287,0.5631837844848633,0.05289683757091436
7,2806273,142593,32.13529872894287,0.5631837844848633,0.050812233877459534
9,3002881,142593,34.38529872894287,0.5631837844848633,0.047485398189272235
11,3310081,142593,37.90098285675049,1.6677980422973633,0.043078402008893436
13,3752449,142593,42.96348285675049,1.6677980422973633,0.03799998347745699
