split_name,distance,fitted_alpha,theoretical_alpha,alpha_diff,r_squared,log_C
a1_d3_00,9,1.9344776797176526,5.0,-3.0655223202823474,0.9745243595671949,8.744579082590368
a1_d3_00,11,1.1722771918585746,6.0,-4.827722808141425,0.8987219031314232,5.233515978172847
a1_d3_00,13,0.5912675364940191,7.0,-6.408732463505981,0.7702459088052239,2.3664380337298607
a2_d3_10,9,2.0191970289507037,5.0,-2.9808029710492963,0.9751687485475025,9.16254612603794
a2_d3_10,11,1.2623485945869963,6.0,-4.737651405413004,0.8896607166744168,5.718066370412351
a2_d3_10,13,0.5797081125263552,7.0,-6.4202918874736445,0.769545672650076,2.31100734731483
a3_d3_20,9,2.100654879163104,5.0,-2.899345120836896,0.971024124192949,9.580663797466897
a3_d3_20,11,1.302113550900136,6.0,-4.6978864490998635,0.8894492675169233,5.911446774273395
a3_d3_20,13,0.6007948832756287,7.0,-6.399205116724371,0.7631596354956289,2.4150695767813994
a4_d3_40,9,2.0341455531512773,5.0,-2.9658544468487227,0.9740212525986696,9.240087601775423
a4_d3_40,11,1.329791442261678,6.0,-4.670208557738322,0.9111503007356477,6.0284416240826895
a4_d3_40,13,0.7335743521073297,7.0,-6.26642564789267,0.8040980781930802,3.095249066956061
a5_d3_50,9,2.05455238561929,5.0,-2.94544761438071,0.9781354795978134,9.334572798418055
a5_d3_50,11,1.3876358234982,6.0,-4.6123641765018,0.9043240198722141,6.309162203372068
a5_d3_50,13,0.8100611727301119,7.0,-6.189938827269888,0.8500284215915576,3.467781208509012
b1_d5heavy,9,2.0420980808587905,5.0,-2.9579019191412095,0.9855285904082212,9.207204274699434
b1_d5heavy,11,1.4684043541444598,6.0,-4.53159564585554,0.9037622829869988,6.756677492550568
b1_d5heavy,13,0.8106283742747268,7.0,-6.189371625725273,0.7861016383858173,3.505778660870428
b2_d5more,9,2.0334055766135775,5.0,-2.9665944233864225,0.9810697650466722,9.188926661184778
b2_d5more,11,1.2993203879168693,6.0,-4.700679612083131,0.874063334354338,5.901426130404775
b2_d5more,13,0.6049359009592672,7.0,-6.395064099040733,0.7763282512412308,2.433270291296462
b3_balanced,9,2.139255275275125,5.0,-2.860744724724875,0.9760649206356822,9.714482641283121
b3_balanced,11,1.3407882523079748,6.0,-4.659211747692025,0.9069092084770426,6.055739414224297
b3_balanced,13,0.7200106061414637,7.0,-6.2799893938585365,0.821130129582386,3.0138848695434652
b4_d7more,9,2.0669574286781836,5.0,-2.9330425713218164,0.9733920258145891,9.403126882872819
b4_d7more,11,1.2092087448989721,6.0,-4.790791255101028,0.9074979898661718,5.4114743663036124
b4_d7more,13,0.620010864691099,7.0,-6.379989135308901,0.7887542244690415,2.5104489312608247
b5_d7heavy,9,1.7737971616408539,5.0,-3.2262028383591463,0.9664867909252559,7.977202125133244
b5_d7heavy,11,0.9714269250980004,6.0,-5.028573074902,0.8778944648072136,4.2217143813056826
b5_d7heavy,13,0.41080319225773443,7.0,-6.589196807742265,0.8365087247218944,1.418174969866473
c1_only_d3,9,0.644774819595916,5.0,-4.355225180404084,0.9059274429332922,2.523159498287832
c1_only_d3,11,0.4131588304056684,6.0,-5.586841169594331,0.8986271598734586,1.3983543659369988
c1_only_d3,13,0.28160214166091474,7.0,-6.7183978583390855,0.8641823433417788,0.7525142410097158
c2_only_d5,9,1.1129834106326089,5.0,-3.8870165893673914,0.9487090903920792,4.8691060995902165
c2_only_d5,11,0.6511985395141853,6.0,-5.348801460485815,0.8279850633094654,2.644828535650521
c2_only_d5,13,0.32326932686971127,7.0,-6.6767306731302885,0.8566002568213549,0.9724441203090535
c3_only_d7,9,1.671626011516647,5.0,-3.328373988483353,0.9620540949774317,7.49193929949698
c3_only_d7,11,0.7977251585828328,6.0,-5.202274841417167,0.8595982772716795,3.3430932753047164
c3_only_d7,13,0.2881854597644413,7.0,-6.711814540235559,0.886611052546057,0.7817477468711284
c4_no_d7,9,1.059940192712101,5.0,-3.940059807287899,0.9192066949049853,4.645166824329239
c4_no_d7,11,0.5556084857397554,6.0,-5.444391514260245,0.8474463114334788,2.14283617642103
c4_no_d7,13,0.30402784442873193,7.0,-6.695972155571268,0.8641299725424668,0.870074235918285
equal_333333,9,2.0181896238356174,5.0,-2.9818103761643826,0.9686322422699336,9.193570829685747
equal_333333,11,1.2506177225562711,6.0,-4.749382277443729,0.880335806588897,5.653760831456379
equal_333333,13,0.6110512944119028,7.0,-6.388948705588097,0.7809346514417521,2.4628068257125935
