Split,d3 %,d5 %,d7 %,Train Acc,Val Acc,Test Acc,Final Loss,Time (min)
equal_333333,33.0,33.0,34.0,96.69,96.67,96.5905,0.07832505240556875,7.623517994085947
a1_d3_00,0.0,50.0,50.0,96.24000000000001,96.28,96.139,0.09071424444750821,4.327960026264191
a2_d3_10,10.0,45.0,45.0,96.24000000000001,96.48,96.353,0.0868984248722781,6.438076321283976
a3_d3_20,20.0,40.0,40.0,96.78999999999999,96.57,96.60849999999999,0.08325820882469416,208.05381229321162
a4_d3_40,40.0,30.0,30.0,97.05,96.92,96.92349999999999,0.07507218321396045,331.08870932261146
