split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
a3_d3_20,11,0.006,0.5426,0.45740000000000003,0.45740000000000003,0.0125,36.592
a3_d3_20,11,0.007,0.5285,0.47150000000000003,0.47150000000000003,0.0267,17.65917602996255
a3_d3_20,11,0.008,0.5174,0.48260000000000003,0.48260000000000003,0.0517,9.334622823984526
a3_d3_20,13,0.001,0.8776,0.12239999999999995,0.12239999999999995,0.0,inf
a3_d3_20,13,0.002,0.6346,0.36539999999999995,0.36539999999999995,0.0001,3653.999999999999
a3_d3_20,13,0.003,0.5571,0.44289999999999996,0.44289999999999996,0.0001,4428.999999999999
a3_d3_20,13,0.004,0.5354,0.4646,0.4646,0.0001,4646.0
a3_d3_20,13,0.005,0.5179,0.4821,0.4821,0.0023,209.6086956521739
a3_d3_20,13,0.006,0.4992,0.5008,0.5008,0.0085,58.917647058823526
a3_d3_20,13,0.007,0.5124,0.48760000000000003,0.48760000000000003,0.0273,17.86080586080586
a3_d3_20,13,0.008,0.4968,0.5032,0.5032,0.0579,8.690846286701209
a4_d3_40,9,0.001,0.993,0.007000000000000006,0.007000000000000006,0.0,inf
a4_d3_40,9,0.002,0.9635,0.03649999999999998,0.03649999999999998,0.0,inf
a4_d3_40,9,0.003,0.9008,0.09919999999999995,0.09919999999999995,0.0011,90.18181818181813
a4_d3_40,9,0.004,0.8271,0.17290000000000005,0.17290000000000005,0.0028,61.75000000000002
a4_d3_40,9,0.005,0.7488,0.2512,0.2512,0.0062,40.516129032258064
a4_d3_40,9,0.006,0.6812,0.3188,0.3188,0.0158,20.177215189873415
a4_d3_40,9,0.007,0.6274,0.37260000000000004,0.37260000000000004,0.0267,13.955056179775282
a4_d3_40,9,0.008,0.5828,0.4172,0.4172,0.0546,7.6410256410256405
a4_d3_40,11,0.001,0.9709,0.029100000000000015,0.029100000000000015,0.0,inf
a4_d3_40,11,0.002,0.8522,0.14780000000000004,0.14780000000000004,0.0,inf
a4_d3_40,11,0.003,0.746,0.254,0.254,0.0001,2540.0
a4_d3_40,11,0.004,0.6555,0.34450000000000003,0.34450000000000003,0.0008,430.625
a4_d3_40,11,0.005,0.5935,0.4065,0.4065,0.0044,92.38636363636363
a4_d3_40,11,0.006,0.5516,0.4484,0.4484,0.0125,35.872
a4_d3_40,11,0.007,0.529,0.471,0.471,0.0267,17.640449438202246
a4_d3_40,11,0.008,0.5205,0.47950000000000004,0.47950000000000004,0.0517,9.274661508704062
a4_d3_40,13,0.001,0.9062,0.0938,0.0938,0.0,inf
a4_d3_40,13,0.002,0.685,0.31499999999999995,0.31499999999999995,0.0001,3149.999999999999
a4_d3_40,13,0.003,0.5764,0.4236,0.4236,0.0001,4236.0
a4_d3_40,13,0.004,0.5443,0.4557,0.4557,0.0001,4557.0
a4_d3_40,13,0.005,0.5191,0.4809,0.4809,0.0023,209.08695652173913
a4_d3_40,13,0.006,0.5025,0.49750000000000005,0.49750000000000005,0.0085,58.529411764705884
a4_d3_40,13,0.007,0.5131,0.4869,0.4869,0.0273,17.835164835164836
a4_d3_40,13,0.008,0.5004,0.49960000000000004,0.49960000000000004,0.0579,8.6286701208981
a5_d3_50,9,0.001,0.9948,0.005199999999999982,0.005199999999999982,0.0,inf
a5_d3_50,9,0.002,0.9665,0.033499999999999974,0.033499999999999974,0.0,inf
a5_d3_50,9,0.003,0.9057,0.09430000000000005,0.09430000000000005,0.0011,85.72727272727276
a5_d3_50,9,0.004,0.8267,0.1733,0.1733,0.0028,61.892857142857146
a5_d3_50,9,0.005,0.7448,0.2552,0.2552,0.0062,41.16129032258064
a5_d3_50,9,0.006,0.6772,0.3228,0.3228,0.0158,20.43037974683544
a5_d3_50,9,0.007,0.6295,0.37050000000000005,0.37050000000000005,0.0267,13.876404494382024
a5_d3_50,9,0.008,0.585,0.41500000000000004,0.41500000000000004,0.0546,7.600732600732601
a5_d3_50,11,0.001,0.9744,0.025599999999999956,0.025599999999999956,0.0,inf
