split_name,distance,accuracy_mean,accuracy_se,accuracy_ci_lower,accuracy_ci_upper,ler_mean,ler_se,ler_ci_lower,ler_ci_upper
a1_d3_00,9,0.7888375,0.051071605265909495,0.687321875,0.8917503124999999,0.21116249999999995,0.05107160526590951,0.10824968750000002,0.312678125
a1_d3_00,11,0.6656125,0.054814055711615566,0.5644384375,0.7848578125000001,0.33438749999999995,0.054814055711615566,0.2151421875,0.4355615624999999
a1_d3_00,13,0.577275,0.04445747270572005,0.5111965625,0.6811734374999998,0.422725,0.04445747270572006,0.3188265625000001,0.4888034375
a2_d3_10,9,0.7931125000000001,0.05123898114289885,0.692905,0.896174375,0.20688749999999995,0.051238981142898855,0.10382562499999995,0.30709499999999995
a2_d3_10,11,0.6625874999999999,0.056881956150846937,0.5584890625,0.7863553124999999,0.3374125,0.05688195615084694,0.21364468750000004,0.4415109375
a2_d3_10,13,0.574475,0.04413057246111921,0.5086625,0.6779928125,0.42552499999999993,0.04413057246111922,0.32200718749999996,0.4913375
a3_d3_20,9,0.7947625,0.05126306785140101,0.694639375,0.8988503125,0.20523749999999996,0.051263067851401015,0.10114968749999995,0.3053606249999999
a3_d3_20,11,0.6682375,0.056716440250353106,0.5631593749999999,0.7907128124999999,0.33176249999999996,0.05671644025035312,0.2092871875,0.436840625
a3_d3_20,13,0.5782,0.044646903634866925,0.5121865625,0.6830184374999999,0.4218,0.044646903634866925,0.3169815625,0.4878134375
a4_d3_40,9,0.79335,0.05112847072722638,0.6935306250000001,0.8964953125,0.20664999999999994,0.051128470727226365,0.10350468749999998,0.3064693749999999
a4_d3_40,11,0.677525,0.057207795697700535,0.569248125,0.7991259374999998,0.32247499999999996,0.05720779569770054,0.20087406249999995,0.4307518749999999
a4_d3_40,13,0.5921125,0.0489750116174932,0.5146821874999999,0.7074053125,0.40788749999999996,0.04897501161749321,0.2925946874999999,0.48531781249999995
a5_d3_50,9,0.7945,0.05169804327365634,0.6932612499999999,0.8982059374999999,0.20549999999999996,0.05169804327365635,0.10179406250000003,0.3067387499999999
a5_d3_50,11,0.68535,0.056544098222613776,0.5776809375,0.80478625,0.31465,0.05654409822261378,0.19521374999999994,0.4223190625
a5_d3_50,13,0.6073999999999999,0.05112147949849456,0.5222084375,0.71883625,0.39259999999999995,0.051121479498494556,0.28116375,0.4777915625
