split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
equal_333333,11,0.003,0.7061,0.2939,0.2939,0.0003,979.6666666666667
equal_333333,11,0.004,0.6295,0.3705,0.3705,0.0016,231.5625
equal_333333,11,0.005,0.5736,0.4264,0.4264,0.0041,103.99999999999999
equal_333333,11,0.006,0.5546,0.4454,0.4454,0.0102,43.666666666666664
equal_333333,11,0.007,0.5287,0.4713,0.4713,0.0277,17.014440433212997
equal_333333,11,0.008,0.5132,0.4868,0.4868,0.0545,8.93211009174312
equal_333333,13,0.001,0.8795,0.1205,0.1205,0.0,inf
equal_333333,13,0.002,0.6494,0.3506,0.3506,0.0,inf
equal_333333,13,0.003,0.5661,0.4338999999999999,0.4338999999999999,0.0,inf
equal_333333,13,0.004,0.5313,0.4687,0.4687,0.0004,1171.75
equal_333333,13,0.005,0.5136,0.4864,0.4864,0.0032,152.0
equal_333333,13,0.006,0.5098,0.4901999999999999,0.4901999999999999,0.0108,45.38888888888888
equal_333333,13,0.007,0.5032,0.4968,0.4968,0.0272,18.264705882352942
equal_333333,13,0.008,0.5011,0.4989,0.4989,0.0543,9.187845303867404
