split_name,d1,d2,lambda,ler_d1,ler_d2
a1_d3_00,9,11,0.6575940860215055,0.1957,0.2976
a1_d3_00,11,13,0.816993239765279,0.2976,0.36426250000000004
a2_d3_10,9,11,0.6625213556359013,0.2084375,0.3146125
a2_d3_10,11,13,0.8148471898471898,0.3146125,0.3861
a3_d3_20,9,11,0.668401675764885,0.1974375,0.2953875
a3_d3_20,11,13,0.8282860147213461,0.2953875,0.35662499999999997
a4_d3_40,9,11,0.6747726618112991,0.20498750000000002,0.3037875
a4_d3_40,11,13,0.8225200527972383,0.3037875,0.3693375
a5_d3_50,9,11,0.6631276087044615,0.20454999999999998,0.30846250000000003
a5_d3_50,11,13,0.8084458131306512,0.30846250000000003,0.38155000000000006
b1_d5heavy,9,11,0.6799199084668192,0.2079875,0.3059
b1_d5heavy,11,13,0.82330776476921,0.3059,0.37155000000000005
b2_d5more,9,11,0.6711964549483013,0.19879999999999998,0.2961875
b2_d5more,11,13,0.8227144890802404,0.2961875,0.36001249999999996
b3_balanced,9,11,0.6556884996505078,0.1993375,0.3040125
b3_balanced,11,13,0.8080334894847006,0.3040125,0.3762375
b4_d7more,9,11,0.6432231020027948,0.18988750000000004,0.2952125
b4_d7more,11,13,0.8051067021204062,0.2952125,0.36667500000000003
b5_d7heavy,9,11,0.6239201543235763,0.185975,0.298075
b5_d7heavy,11,13,0.8024363159134502,0.298075,0.3714625
c1_only_d3,9,11,0.880131756250936,0.36740000000000006,0.41743749999999996
c1_only_d3,11,13,0.9266864611371646,0.41743749999999996,0.4504625
c2_only_d5,9,11,0.7633128177682632,0.28525,0.37370000000000003
c2_only_d5,11,13,0.8788030218407361,0.37370000000000003,0.4252375
c3_only_d7,9,11,0.6341534856473345,0.1894375,0.298725
c3_only_d7,11,13,0.8181724810845973,0.298725,0.3651125
c4_no_d7,9,11,0.7660032999966325,0.28435,0.37121250000000006
c4_no_d7,11,13,0.8645163168466713,0.37121250000000006,0.4293875
equal_333333,9,11,0.6620184071078528,0.20769999999999997,0.3137375
equal_333333,11,13,0.8163603838022443,0.3137375,0.3843125
