distance,old_throughput,new_throughput,old_latency_us,new_latency_us,speedup
3,5350,22847.86090807839,186.91,43.767773448166736,4.270628207117456
5,4459,20622.5845477165,224.26,48.49052734812176,4.624934861564588
7,4203,38522.16340110051,237.92,25.959082037729786,9.165396954818108
9,3828,32246.89023505655,261.21,31.010742205239694,8.42395251699492
11,3451,33490.97638983191,289.77,29.85878907679762,9.704716427073866
13,2288,27695.062211430624,437.0,36.10751954141733,12.10448523226863
