Split,d3 %,d5 %,d7 %,Train Acc,Val Acc,Test Acc,Final Loss,Time (min)
a5_d3_50,50.0,25.0,25.0,94.82000000000001,94.639,94.675,0.10553985542573362,20.23970523675283
b1_d5heavy,0.0,80.0,20.0,94.39999999999999,94.423,94.357,0.1064057375228405,22.989634935061137
b2_d5more,0.0,65.0,35.0,93.32000000000001,93.24799999999999,93.269,0.129451650140005,24.861527144908905
b3_balanced,0.0,50.0,50.0,92.56,92.435,92.539,0.1458056031720938,26.62340820233027
b4_d7more,0.0,35.0,65.0,91.5,91.345,91.416,0.16597269020345412,28.42599059343338
